month,validator_sort,validator,consensus_income,execution_income
2021-07-01,14.0,14,369.58232974183,0.0
2021-07-01,15.0,15,379.22912953613996,0.0
2021-07-01,16.0,16,379.51654651171003,0.0
2021-07-01,17.0,17,380.13928032930994,0.0
2021-07-01,18.0,18,369.47039548342,0.0
2021-07-01,19.0,19,369.41217672135,0.0
2021-07-01,20.0,20,379.4711625118501,0.0
2021-07-01,21.0,21,379.8327615169301,0.0
2021-07-01,22.0,22,368.84490055068994,0.0
2021-07-01,23.0,23,368.01362796282007,0.0
2021-07-01,24.0,24,369.19223624995,0.0
2021-07-01,25.0,25,378.21245222718,0.0
2021-07-01,26.0,26,388.37281073492005,0.0
2021-07-01,27.0,27,423.98310876825,0.0
2021-07-01,28.0,28,373.62078870965,0.0
2021-07-01,29.0,29,380.5696774890099,0.0
2021-07-01,30.0,30,391.27806895372,0.0
2021-07-01,31.0,31,379.87255042615,0.0
2021-07-01,32.0,32,353.13801861332,0.0
2021-08-01,0.0,0,586.3213997915499,0.0
2021-08-01,1.0,1,558.06819293218,0.0
2021-08-01,2.0,2,575.7911616045101,0.0
2021-08-01,3.0,3,557.5166590304899,0.0
2021-08-01,4.0,4,573.7541263269599,0.0
2021-08-01,5.0,5,553.77575576711,0.0
2021-08-01,6.0,6,553.81831395414,0.0
2021-08-01,7.0,7,555.2393315227899,0.0
2021-08-01,9.0,9,541.2721003787401,0.0
2021-08-01,10.0,10,603.7248133002098,0.0
2021-08-01,11.0,11,568.7320526400002,0.0
2021-08-01,12.0,12,569.3359002824101,0.0
2021-08-01,13.0,13,553.1026272752,0.0
2021-08-01,14.0,14,569.44178146133,0.0
2021-08-01,15.0,15,585.09163137019,0.0
2021-08-01,16.0,16,585.54801139069,0.0
2021-08-01,17.0,17,637.65889096939,0.0
2021-08-01,18.0,18,559.3526316296101,0.0
2021-08-01,19.0,19,588.8808446891799,0.0
2021-08-01,20.0,20,565.2950177805499,0.0
2021-08-01,21.0,21,582.9993684022402,0.0
2021-08-01,22.0,22,601.7448055994199,0.0
2021-08-01,23.0,23,566.7614493534801,0.0
2021-08-01,24.0,24,554.4716510962601,0.0
2021-08-01,25.0,25,602.8852337468699,0.0
2021-08-01,26.0,26,599.8100059301601,0.0
2021-08-01,27.0,27,554.3920758772201,0.0
2021-08-01,28.0,28,557.55813368441,0.0
2021-08-01,29.0,29,572.5686074440501,0.0
2021-08-01,30.0,30,569.4968119229802,0.0
2021-08-01,31.0,31,602.8145096848998,0.0
2021-08-01,32.0,32,240.79819159122002,0.0
2021-09-01,0.0,0,497.32558863984,0.0
2021-09-01,1.0,1,497.6438553869399,0.0
2021-09-01,2.0,2,534.1887985490399,0.0
2021-09-01,3.0,3,515.44225783907,0.0
2021-09-01,4.0,4,538.70933753786,0.0
2021-09-01,5.0,5,493.16867206714005,0.0
2021-09-01,6.0,6,514.4551479496299,0.0
2021-09-01,7.0,7,499.84866489398,0.0
2021-09-01,9.0,9,472.86710085855,0.0
2021-09-01,10.0,10,494.10252917999,0.0
2021-09-01,11.0,11,531.38982368276,0.0
2021-09-01,12.0,12,513.74547296712,0.0
2021-09-01,13.0,13,512.16124437533,0.0
2021-09-01,14.0,14,511.04775306160997,0.0
2021-09-01,15.0,15,511.7278773562702,0.0
2021-09-01,16.0,16,514.64844781167,0.0
2021-09-01,17.0,17,493.92306381405996,0.0
2021-09-01,18.0,18,548.49595569318,0.0
2021-09-01,19.0,19,496.0811419733698,0.0
2021-09-01,20.0,20,495.90404934895,0.0
2021-09-01,21.0,21,512.47687910417,0.0
2021-09-01,22.0,22,551.01716182071,0.0
2021-09-01,23.0,23,511.79936494836,0.0
2021-09-01,24.0,24,512.06391218041,0.0
2021-09-01,25.0,25,533.5445706407198,0.0
2021-09-01,26.0,26,514.68994779208,0.0
2021-09-01,27.0,27,494.6224866923501,0.0
2021-09-01,28.0,28,520.9766833709999,0.0
2021-09-01,29.0,29,527.33426847006,0.0
2021-09-01,30.0,30,493.66982098665,0.0
2021-09-01,31.0,31,512.0237891676502,0.0
2021-09-01,32.0,32,365.5908134155999,0.0
2021-10-01,0.0,0,563.6419947324698,0.0
2021-10-01,1.0,1,564.78518055884,0.0
2021-10-01,2.0,2,563.5714257924201,0.0
2021-10-01,3.0,3,583.4436316495201,0.0
2021-10-01,4.0,4,564.30792721517,0.0
2021-10-01,5.0,5,581.0653959771901,0.0
2021-10-01,6.0,6,585.3948665746401,0.0
2021-10-01,7.0,7,582.0377433127398,0.0
2021-10-01,9.0,9,489.29776561982004,0.0
2021-10-01,10.0,10,557.9508385032299,0.0
2021-10-01,11.0,11,576.25664342331,0.0
2021-10-01,12.0,12,581.8186965396902,0.0
2021-10-01,13.0,13,657.0896629320802,0.0
2021-10-01,14.0,14,579.7847158881899,0.0
2021-10-01,15.0,15,790.6588285498897,0.0
2021-10-01,16.0,16,558.84240244002,0.0
2021-10-01,17.0,17,578.7920512971899,0.0
2021-10-01,18.0,18,576.57203406226,0.0
2021-10-01,19.0,19,580.28291114966,0.0
2021-10-01,20.0,20,577.2927609460099,0.0
2021-10-01,21.0,21,578.7614796307299,0.0
2021-10-01,22.0,22,621.41588948228,0.0
2021-10-01,23.0,23,581.0765471347597,0.0
2021-10-01,24.0,24,572.4343511958,0.0
2021-10-01,25.0,25,580.6615170724999,0.0
2021-10-01,26.0,26,597.6907295227501,0.0
2021-10-01,27.0,27,558.52089373287,0.0
2021-10-01,28.0,28,679.94347140367,0.0
2021-10-01,29.0,29,578.5370061803701,0.0
2021-10-01,30.0,30,557.3293103412302,0.0
2021-10-01,31.0,31,559.0330926186801,0.0
2021-10-01,32.0,32,563.85822975796,0.0
2021-11-01,0.0,0,603.3832798181401,0.0
2021-11-01,1.0,1,804.1235210229497,0.0
2021-11-01,2.0,2,604.6133971637902,0.0
2021-11-01,3.0,3,702.57759439798,0.0
2021-11-01,4.0,4,1939.52040135121,0.0
2021-11-01,5.0,5,604.0053862233502,0.0
2021-11-01,6.0,6,602.5962828868297,0.0
2021-11-01,7.0,7,770.3393427373101,0.0
2021-11-01,9.0,9,688.47803743848,0.0
2021-11-01,10.0,10,707.65432816178,0.0
2021-11-01,11.0,11,710.2526875424201,0.0
2021-11-01,12.0,12,787.5230368952498,0.0
2021-11-01,13.0,13,917.1082994500301,0.0
2021-11-01,14.0,14,973.7939954581399,0.0
2021-11-01,15.0,15,701.0715649931398,0.0
2021-11-01,16.0,16,603.63167725432,0.0
2021-11-01,17.0,17,706.3924052210301,0.0
2021-11-01,18.0,18,603.39081644996,0.0
2021-11-01,19.0,19,603.33094086845,0.0
2021-11-01,20.0,20,701.9127992296798,0.0
2021-11-01,21.0,21,965.2706719591303,0.0
2021-11-01,22.0,22,601.91058520333,0.0
2021-11-01,23.0,23,824.4039865298702,0.0
2021-11-01,24.0,24,808.66972693531,0.0
2021-11-01,25.0,25,603.48781940792,0.0
2021-11-01,26.0,26,704.5994796362401,0.0
2021-11-01,27.0,27,603.73990130087,0.0
2021-11-01,28.0,28,605.3646913568102,0.0
2021-11-01,29.0,29,711.7311707146198,0.0
2021-11-01,30.0,30,603.24210416219,0.0
2021-11-01,31.0,31,706.9228055346001,0.0
2021-11-01,32.0,32,703.8799814705098,0.0
2021-12-01,0.0,0,606.1354969243,0.0
2021-12-01,1.0,1,510.89460371254995,0.0
2021-12-01,2.0,2,609.1996948110201,0.0
2021-12-01,3.0,3,510.1725888263899,0.0
2021-12-01,4.0,4,510.62990190152004,0.0
2021-12-01,5.0,5,510.1411749737301,0.0
2021-12-01,6.0,6,840.1496076318099,0.0
2021-12-01,7.0,7,584.90927489339,0.0
2021-12-01,9.0,9,706.05418003441,0.0
2021-12-01,10.0,10,511.93948824995994,0.0
2021-12-01,11.0,11,510.06111203924,0.0
2021-12-01,12.0,12,697.6175269192,0.0
2021-12-01,13.0,13,601.87148942542,0.0
2021-12-01,14.0,14,696.93024373984,0.0
2021-12-01,15.0,15,682.3952290323501,0.0
2021-12-01,16.0,16,700.5844784385899,0.0
2021-12-01,17.0,17,603.3136570747499,0.0
2021-12-01,18.0,18,510.63949692757996,0.0
2021-12-01,19.0,19,510.98075188044993,0.0
2021-12-01,20.0,20,867.11928209139,0.0
2021-12-01,21.0,21,596.74094378684,0.0
2021-12-01,22.0,22,507.44071685792,0.0
2021-12-01,23.0,23,508.21817160283,0.0
2021-12-01,24.0,24,511.3698721494799,0.0
2021-12-01,25.0,25,511.7967685054099,0.0
2021-12-01,26.0,26,508.5573490665201,0.0
2021-12-01,27.0,27,603.6553377289699,0.0
2021-12-01,28.0,28,603.3862935663001,0.0
2021-12-01,29.0,29,794.9302392121697,0.0
2021-12-01,30.0,30,610.83447266751,0.0
2021-12-01,31.0,31,685.9739068659,0.0
2021-12-01,32.0,32,663.9924173929,0.0
2022-01-01,0.0,0,378.97904253873,0.0
2022-01-01,1.0,1,602.90403105674,0.0
2022-01-01,2.0,2,468.37651637591983,0.0
2022-01-01,3.0,3,379.13277564954006,0.0
2022-01-01,4.0,4,437.07437122875984,0.0
2022-01-01,5.0,5,378.7735020982799,0.0
2022-01-01,6.0,6,378.25851390246004,0.0
2022-01-01,7.0,7,298.79239805595995,0.0
2022-01-01,9.0,9,438.1862187014399,0.0
2022-01-01,10.0,10,545.7564138832598,0.0
2022-01-01,11.0,11,435.72252638376,0.0
2022-01-01,12.0,12,440.60608662463,0.0
2022-01-01,13.0,13,378.73826205244,0.0
2022-01-01,14.0,14,378.63514213414004,0.0
2022-01-01,15.0,15,516.31490109052,0.0
2022-01-01,16.0,16,378.25778358070994,0.0
2022-01-01,17.0,17,455.2121383337999,0.0
2022-01-01,18.0,18,378.21037365357,0.0
2022-01-01,19.0,19,507.79946124508996,0.0
2022-01-01,20.0,20,376.87413801791,0.0
2022-01-01,21.0,21,377.40875003491004,0.0
2022-01-01,22.0,22,377.1716696156301,0.0
2022-01-01,23.0,23,449.89231080949986,0.0
2022-01-01,24.0,24,378.58082497665004,0.0
2022-01-01,25.0,25,379.0436161655901,0.0
2022-01-01,26.0,26,437.2294810312699,0.0
2022-01-01,27.0,27,377.7531234012301,0.0
2022-01-01,28.0,28,379.72342925492,0.0
2022-01-01,29.0,29,378.6146211823199,0.0
2022-01-01,30.0,30,457.75095198967995,0.0
2022-01-01,31.0,31,452.3171689640001,0.0
2022-01-01,32.0,32,456.28673254406,0.0
2022-02-01,0.0,0,583.05183386069,0.0
2022-02-01,1.0,1,399.04694419566005,0.0
2022-02-01,2.0,2,470.54801613403015,0.0
2022-02-01,3.0,3,471.3120600534399,0.0
2022-02-01,4.0,4,332.1825991497899,0.0
2022-02-01,5.0,5,409.72509938457995,0.0
2022-02-01,6.0,6,675.9568098292898,0.0
2022-02-01,7.0,7,344.42958664666,0.0
2022-02-01,9.0,9,318.32428807092987,0.0
2022-02-01,10.0,10,478.06494943615,0.0
2022-02-01,11.0,11,410.2190452003701,0.0
2022-02-01,12.0,12,404.2755141262099,0.0
2022-02-01,13.0,13,634.20702675104,0.0
2022-02-01,14.0,14,340.15472164956,0.0
2022-02-01,15.0,15,340.76417936935997,0.0
2022-02-01,16.0,16,405.27968040414015,0.0
2022-02-01,17.0,17,339.64099281943,0.0
2022-02-01,18.0,18,340.31369686939,0.0
2022-02-01,19.0,19,412.07418540367,0.0
2022-02-01,20.0,20,485.19644827093003,0.0
2022-02-01,21.0,21,478.1442385160599,0.0
2022-02-01,22.0,22,658.2233749928199,0.0
2022-02-01,23.0,23,402.9026322155901,0.0
2022-02-01,24.0,24,487.78217754386014,0.0
2022-02-01,25.0,25,340.9014902252301,0.0
2022-02-01,26.0,26,340.98301852214996,0.0
2022-02-01,27.0,27,340.94713098167006,0.0
2022-02-01,28.0,28,345.39505687688,0.0
2022-02-01,29.0,29,412.5200215217901,0.0
2022-02-01,30.0,30,636.0132610029499,0.0
2022-02-01,31.0,31,416.44781494799014,0.0
2022-02-01,32.0,32,342.2726010687601,0.0
2022-03-01,0.0,0,397.78623425283007,0.0
2022-03-01,1.0,1,474.75604219189,0.0
2022-03-01,2.0,2,399.88982999119,0.0
2022-03-01,3.0,3,420.61566572388006,0.0
2022-03-01,4.0,4,472.45877717576997,0.0
2022-03-01,5.0,5,395.81774316694,0.0
2022-03-01,6.0,6,486.94970651332994,0.0
2022-03-01,7.0,7,321.79018246267003,0.0
2022-03-01,9.0,9,570.8171042034701,0.0
2022-03-01,10.0,10,330.72976510218007,0.0
2022-03-01,11.0,11,393.81113470069,0.0
2022-03-01,12.0,12,394.69053721807,0.0
2022-03-01,13.0,13,330.80313990121994,0.0
2022-03-01,14.0,14,331.17191091396995,0.0
2022-03-01,15.0,15,600.0793961137,0.0
2022-03-01,16.0,16,730.99041075134,0.0
2022-03-01,17.0,17,668.19477824638,0.0
2022-03-01,18.0,18,392.42005270814013,0.0
2022-03-01,19.0,19,399.41124049806,0.0
2022-03-01,20.0,20,470.94954703364994,0.0
2022-03-01,21.0,21,404.33277421078003,0.0
2022-03-01,22.0,22,502.81005206414994,0.0
2022-03-01,23.0,23,333.2583180446,0.0
2022-03-01,24.0,24,330.98215535210994,0.0
2022-03-01,25.0,25,393.97236280876007,0.0
2022-03-01,26.0,26,332.35992802651,0.0
2022-03-01,27.0,27,330.61867836054006,0.0
2022-03-01,28.0,28,337.15180982135,0.0
2022-03-01,29.0,29,330.87109946622,0.0
2022-03-01,30.0,30,394.2402870965299,0.0
2022-03-01,31.0,31,395.3101393584499,0.0
2022-03-01,32.0,32,403.80551864301003,0.0
2022-04-01,0.0,0,413.40056770708,0.0
2022-04-01,1.0,1,505.06496682919993,0.0
2022-04-01,2.0,2,879.8636844600102,0.0
2022-04-01,3.0,3,336.15552172471996,0.0
2022-04-01,4.0,4,336.15692794061005,0.0
2022-04-01,5.0,5,337.36023150952997,0.0
2022-04-01,6.0,6,391.02381632578,0.0
2022-04-01,7.0,7,414.8976402859201,0.0
2022-04-01,9.0,9,281.76926255672,0.0
2022-04-01,10.0,10,337.8856778979601,0.0
2022-04-01,11.0,11,421.2763868750099,0.0
2022-04-01,12.0,12,337.64603103075,0.0
2022-04-01,13.0,13,338.14293632193,0.0
2022-04-01,14.0,14,393.91668334786004,0.0
2022-04-01,15.0,15,413.07554500041994,0.0
2022-04-01,16.0,16,338.04448992947994,0.0
2022-04-01,17.0,17,412.280186511,0.0
2022-04-01,18.0,18,419.1326708346999,0.0
2022-04-01,19.0,19,337.4931227165,0.0
2022-04-01,20.0,20,331.27351072705,0.0
2022-04-01,21.0,21,415.33642951079,0.0
2022-04-01,22.0,22,331.96618604708,0.0
2022-04-01,23.0,23,409.4902319822,0.0
2022-04-01,24.0,24,337.39618509294,0.0
2022-04-01,25.0,25,415.6381153206899,0.0
2022-04-01,26.0,26,504.5021706360699,0.0
2022-04-01,27.0,27,337.63287602138996,0.0
2022-04-01,28.0,28,654.51936282498,0.0
2022-04-01,29.0,29,337.97276257711,0.0
2022-04-01,30.0,30,418.91195301309,0.0
2022-04-01,31.0,31,332.8999460010199,0.0
2022-04-01,32.0,32,331.6295943340099,0.0
2022-05-01,0.0,0,381.8439313729999,0.0
2022-05-01,1.0,1,308.96678853295003,0.0
2022-05-01,2.0,2,250.14407557223007,0.0
2022-05-01,3.0,3,250.55830325125996,0.0
2022-05-01,4.0,4,360.15300528593,0.0
2022-05-01,5.0,5,296.17673296251996,0.0
2022-05-01,6.0,6,308.35965810809006,0.0
2022-05-01,7.0,7,253.52598194783005,0.0
2022-05-01,9.0,9,296.04891198972996,0.0
2022-05-01,10.0,10,279.05619936205005,0.0
2022-05-01,11.0,11,333.78454389242006,0.0
2022-05-01,12.0,12,225.49679963835,0.0
2022-05-01,13.0,13,225.38477043186,0.0
2022-05-01,14.0,14,225.3955012473,0.0
2022-05-01,15.0,15,281.54383430109004,0.0
2022-05-01,16.0,16,225.59994491591,0.0
2022-05-01,17.0,17,293.68195595905,0.0
2022-05-01,18.0,18,225.76939281046006,0.0
2022-05-01,19.0,19,341.84917918720987,0.0
2022-05-01,20.0,20,371.95624824962,0.0
